,Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,Latitude,Longitude
0,China,1438207241,0.0039,5540090,153,9388211,-348399.0,1.7,38,0.61,0.1847,36.567348398000036,103.93002703300004
1,India,1377233523,0.0099,13586631,464,2973190,-532687.0,2.2,28,0.35,0.177,23.379379735000043,79.44332654800007
2,United States,330610570,0.0059,1937734,36,9147420,954806.0,1.8,38,0.83,0.0425,39.39870315600007,-99.41461918999994
3,Indonesia,272931713,0.0107,2898047,151,1811570,-98955.0,2.3,30,0.56,0.0351,-0.989818181999965,113.91586500000005
4,Pakistan,219992900,0.02,4327022,287,770880,-233379.0,3.6,23,0.35,0.0283,30.314282999000056,70.21010363900007
5,Brazil,212253150,0.0072,1509890,25,8358140,21200.0,1.7,33,0.88,0.0273,-10.769946428999958,-53.073466888999974
6,Nigeria,205052107,0.0258,5175990,226,910770,-60000.0,5.4,18,0.52,0.0264,9.593696882000074,8.106777828000077
7,Bangladesh,164354176,0.0101,1643222,1265,130170,-369501.0,2.1,28,0.39,0.0211,23.804670475000023,90.28845390100008
8,Russia,145922010,0.0004,62206,9,16376870,182456.0,1.8,40,0.74,0.0187,61.989526183000066,96.80537153400007
9,Mexico,128655589,0.0106,1357224,66,1943950,-60000.0,2.1,29,0.84,0.0165,23.952824990000067,-102.54835341899997
10,Japan,126552765,-0.003,-383840,347,364555,71560.0,1.4,48,0.92,0.0162,36.655226998000046,139.27149500000007
11,Ethiopia,114357494,0.0257,2884858,115,1000000,30000.0,4.3,19,0.21,0.0147,8.619088938000061,39.644750130000034
12,Philippines,109280343,0.0135,1464463,368,298170,-67152.0,2.6,26,0.47,0.0141,14.164862797000069,120.8616300000001
13,Egypt,101930276,0.0194,1946331,103,995450,-38033.0,3.3,25,0.43,0.0131,26.512273493000066,29.870494860000065
14,Vietnam,97160127,0.0091,876473,314,310070,-80000.0,2.1,32,0.38,0.0125,16.166670000000067,107.83333000000005
15,DR Congo,88972681,0.0319,2770836,40,2267050,23861.0,6,17,0.46,0.0115,-1.6976699999999596,29.244880000000023
16,Turkey,84153250,0.0109,909452,110,769630,283922.0,2.1,32,0.76,0.0108,39.066250645000025,35.142286272000035
17,Iran,83771587,0.013,1079043,52,1628550,-55000.0,2.2,32,0.76,0.0108,32.55801995200005,54.305910263000044
18,Germany,83730223,0.0032,266897,240,348560,543822.0,1.6,46,0.76,0.0107,51.11063104900006,10.39227793200007
19,Thailand,69764925,0.0025,174396,137,510890,19444.0,1.5,40,0.51,0.009,15.11680278700004,101.01223920600006
20,United Kingdom,67814098,0.0053,355839,281,241930,260650.0,1.8,40,0.83,0.0087,53.40838660500003,-1.9695595439999352
21,France,65244628,0.0022,143783,119,547557,36527.0,1.9,42,0.82,0.0084,46.55941704400004,2.5505399530000545
22,Italy,60479424,-0.0015,-88249,206,294140,148943.0,1.3,47,0.69,0.0078,42.833330000000046,12.833330000000046
23,Tanzania,59368313,0.0298,1728755,67,885800,-40076.0,4.9,18,0.37,0.0077,-6.438400132999959,34.995322712000075
